ID,Original Question,Original Answer,1st Question,1st Choices,1st Answer,2nd Question,2nd Answer,3rd Question,3rd Answer,,Decision,Any changes need to be made?,Notes
,How does insulin work in type 2 diabetes?,"Insulin helps cells absorb glucose from the bloodstream; in type 2 diabetes, the response to insulin is diminished, necessitating higher levels for the same effect.",Why does the body require higher levels of insulin in type 2 diabetes to achieve the same effect?,"A) Due to an increase in the number of glucose receptors on cells
B) Because insulin production is stopped entirely
C) Because the response to insulin is reduced
D) Due to the overproduction of glucose in the liver
","
Answer: C) Because the response to insulin is reduced",,,,,,,,
,What are the long-term complications of type 2 diabetes?,"Complications include cardiovascular disease, nerve damage, kidney damage, eye problems (retinopathy), foot damage, and skin issues.",How does nerve damage in type 2 diabetes contribute to complications like foot damage and skin issues?,"A) Nerve damage increases blood pressure, which harms the kidneys
B) Nerve damage impairs sensation in the feet, leading to unnoticed injuries
C) Nerve damage causes increased sweating, which leads to skin irritation
D) Nerve damage reduces circulation, resulting in poor vision","

Answer: B) Nerve damage impairs sensation in the feet, leading to unnoticed injuries",,,,,,,,
,How often should I check my blood sugar levels?,Monitoring frequency varies based on treatment and individual goals; consult a healthcare provider for a personalized plan.,How does an individual's treatment plan affect the frequency of blood sugar monitoring?,"A) The frequency is unrelated to the treatment plan
B) A more complex treatment plan generally requires more frequent monitoring
C) The frequency of monitoring depends on how active a person is
D) Only individuals with type 2 diabetes need frequent monitoring","

Answer: B) A more complex treatment plan generally requires more frequent monitoring",,,,,,,,
,What is a healthy blood sugar range for someone with type 2 diabetes?,"Generally, A1C levels should be below 7%, with blood glucose levels between 80-130 mg/dL before meals and under 180 mg/dL after meals."," If someone with type 2 diabetes has blood glucose levels of 140 mg/dL before a meal and 190 mg/dL after a meal, how do these measurements compare to the recommended ranges?","A) Both measurements are within the recommended ranges. B) The pre-meal blood glucose is too high, and the post-meal glucose is too high. C) The pre-meal blood glucose is acceptable, but the post-meal glucose is too high. D) The pre-meal blood glucose is too low, and the post-meal glucose is acceptable.
","
Answer: B) The pre-meal blood glucose is too high, and the post-meal glucose is too high.",,,,,,,,
,How can I prevent type 2 diabetes?,"Maintaining a healthy weight, regular physical activity, a balanced diet, and routine health check-ups can help prevent type 2 diabetes, especially if there are risk factors.","If an individual is at high risk for type 2 diabetes, which combination of strategies would most effectively help in prevention?"," A) Only diet control and regular exercise.
B) Maintaining a healthy weight, regular physical activity, a balanced diet, and routine health check-ups.
C) Frequent sugar consumption combined with sedentary behavior.
D) Avoiding health check-ups and focusing solely on weight loss.","

Answer: B) Maintaining a healthy weight, regular physical activity, a balanced diet, and routine health check-ups.",,,,,,,,
,Can stress affect blood sugar levels?,"Yes, stress can raise blood sugar levels due to stress hormones, affecting insulin effectiveness and glucose metabolism.", Which of the following explains why stress can raise blood sugar levels?,"A) Stress hormones interfere with glucose metabolism and reduce insulin effectiveness.
B) Stress increases glucose absorption into cells, lowering blood sugar levels.
C) Stress causes the liver to decrease glucose production, leading to higher insulin sensitivity.
D) Stress reduces stress hormone levels, which makes the body more sensitive to insulin.
","
Answer: A) Stress hormones interfere with glucose metabolism and reduce insulin effectiveness.",,,,,,,,
,Are there any natural remedies for type 2 diabetes?,"Some natural remedies (e.g., cinnamon, aloe vera) show promise but should not replace conventional treatments; always consult a healthcare provider.",Why should natural remedies like cinnamon and aloe vera not replace conventional treatments for type 2 diabetes?,"A) They are not proven to be effective in treating type 2 diabetes
B) They may cause adverse reactions when combined with conventional treatments
C) They are not recognized by healthcare providers for managing diabetes
D) There is limited scientific evidence to support their effectiveness in replacing conventional treatments","

Answer: D) There is limited scientific evidence to support their effectiveness in replacing conventional treatments",,,,,,,,
,How do I read food labels for carbohydrate content?,"Look for total carbohydrates on the label, paying attention to serving size and choosing foods with lower added sugars and higher fiber content.",Why is it recommended to choose foods with higher fiber content when looking at carbohydrate information on a food label?,"A) Higher fiber content increases the total carbohydrate count, which is beneficial.
B) Fiber slows down the absorption of carbohydrates, making it a healthier choice for blood sugar management.
C) Fiber reduces the total number of carbohydrates in a food item.
D) Fiber increases the calorie content, making the food more nutritious.

","Answer: B) Fiber slows down the absorption of carbohydrates, making it a healthier choice for blood sugar management.",,,,,,,,
,What role does weight loss play in managing type 2 diabetes?,"Losing weight can improve insulin sensitivity and help control blood sugar levels, reducing the likelihood of complications.","How does weight loss specifically reduce the likelihood of complications in type 2 diabetes patients?
","A) By increasing the need for insulin, which improves blood sugar control.
B) By improving insulin sensitivity, which helps in better blood sugar regulation and reduces the risk of further health issues.
C) By reducing blood sugar levels immediately, making medication unnecessary.
D) By decreasing the body’s overall metabolic rate, which prevents the onset of diabetes-related complications.","

Answer: B) By improving insulin sensitivity, which helps in better blood sugar regulation and reduces the risk of further health issues.",,,,,,,,
,How can I avoid diabetic complications?,"Regular check-ups, blood sugar monitoring, a healthy lifestyle, medication adherence, and managing blood pressure and cholesterol levels are vital.","Which combination of actions is most likely to help prevent long-term complications of diabetes?
","A) Medication adherence, avoiding exercise, and eating a high-sugar diet
B) Regular check-ups, monitoring blood sugar, a healthy lifestyle, and managing cholesterol
C) Ignoring cholesterol management and focusing only on blood sugar control
D) Consuming medications sporadically and skipping blood pressure monitoring

","Answer: B) Regular check-ups, monitoring blood sugar, a healthy lifestyle, and managing cholesterol",,,,,,,,
,What lifestyle changes can help manage type 2 diabetes?,"Eating a balanced diet, regular physical activity, managing stress, and avoiding tobacco use are key changes.","Which of the following is a logical sequence of lifestyle changes that could be adopted to effectively manage type 2 diabetes?
","A) Eating a balanced diet, increasing sugar intake, and avoiding exercise
B) Reducing stress, avoiding physical activity, and managing body weight
C) Regular physical activity, managing stress, avoiding tobacco use, and following a balanced diet
D) Consuming high-fat foods, avoiding rest, and increasing stress levels","

Answer: C) Regular physical activity, managing stress, avoiding tobacco use, and following a balanced diet",,,,,,,,
,Is there a link between type 2 diabetes and heart disease?,"Yes, people with type 2 diabetes have a higher risk of cardiovascular disease due to shared risk factors like obesity and high blood pressure.","People with type 2 diabetes are at higher risk for cardiovascular disease. Which of the following is NOT a shared risk factor between type 2 diabetes and heart disease?
","A) Obesity
B) High blood pressure
C) Low blood sugar
D) Insulin resistance
","

Answer: C) Low blood sugar",,,,,,,,
,How does sleep affect type 2 diabetes?,"Poor sleep can lead to insulin resistance and affect hunger hormones, contributing to weight gain and higher blood sugar levels.",How does poor sleep contribute to the development or worsening of type 2 diabetes in terms of insulin resistance and hunger hormones?,"A) Poor sleep reduces insulin resistance by regulating hunger hormones. B) Poor sleep disrupts hunger hormone regulation, leading to weight gain and elevated blood sugar, which increases insulin resistance. C) Poor sleep has no significant effect on insulin resistance or hunger hormones. D) Poor sleep directly improves insulin sensitivity by increasing hunger hormone activity.

","Answer: B) Poor sleep disrupts hunger hormone regulation, leading to weight gain and elevated blood sugar, which increases insulin resistance.
",,,,,,,,
,What are the best snacks for someone with type 2 diabetes?,"Healthy snacks include nuts, yogurt, raw vegetables with hummus, or small portions of fruit—balanced with protein and fiber.",f a person with type 2 diabetes is choosing between two snacks—one consisting of a handful of almonds and the other consisting of a sugary granola bar—what might be the best choice for keeping blood sugar levels stable and why?,"A) The granola bar, as it is high in sugar and provides quick energy.
B) The almonds, as they are high in protein and fiber, which help stabilize blood sugar levels.
C) The granola bar, as it is lower in fat and carbohydrates.
D) The almonds, as they are low in calories and won't affect blood sugar levels.

","Answer: B) The almonds, as they are high in protein and fiber, which help stabilize blood sugar levels.",,,,,,,,
,How often should I see my doctor if I have type 2 diabetes?,"Regular check-ups should generally be at least twice a year, with more frequent visits as needed based on the treatment plan.", A patient with type 2 diabetes is experiencing complications and their doctor has adjusted their treatment plan. What is the most likely change in the frequency of doctor visits?," A) Visits will decrease to once every six months.
B) The doctor will likely increase visits to monitor the changes in the treatment plan.
C) The patient can manage the condition with fewer visits if the complications are minor.
D) The patient will only need to visit when they notice more severe symptoms.
","
Answer: B) The doctor will likely increase visits to monitor the changes in the treatment plan.",,,,,,,,
,Can type 2 diabetes be hereditary?,"Yes, genetics plays a role in type 2 diabetes risk; having a family history can increase risk.","If a person has a family history of type 2 diabetes, how does that affect their risk in comparison to someone without a family history?"," A) They are less likely to develop type 2 diabetes.
B) The risk is the same for both individuals.
C) They are at a higher risk of developing type 2 diabetes.
D) They will definitely develop type 2 diabetes at a younger age.
","
Answer: C) They are at a higher risk of developing type 2 diabetes.",,,,,,,,
,What tests will I need to monitor my diabetes management?,"Tests include A1C tests, lipid profiles, kidney function tests, and routine foot and eye exams.","In addition to A1C tests, which of the following is crucial for monitoring diabetes-related complications related to organs like the kidneys and eyes?","A) Lipid profile
B) Routine foot and eye exams
C) Bone density test
D) Chest X-ray","

Answer: B) Routine foot and eye exams",,,,,,,,
,How does alcohol consumption impact type 2 diabetes?,"Alcohol can affect blood sugar levels; moderation is essential, and it's important to discuss alcohol use with a healthcare provider.",What is the most important factor to consider when consuming alcohol for individuals with type 2 diabetes?,"A) The type of alcohol consumed
B) The total number of alcoholic drinks consumed
C) The timing of alcohol consumption relative to meals
D) Discussing alcohol use with a healthcare provider
","
Answer: D) Discussing alcohol use with a healthcare provider",,,,,,,,
,What are the signs of hypoglycemia?,"Symptoms include shakiness, sweating, confusion, irritability, and in severe cases, seizures or loss of consciousness.",Which combination of symptoms would likely indicate severe hypoglycemia?,"A) Shakiness and sweating
B) Confusion and irritability
C) Shakiness, sweating, and loss of consciousness
D) Confusion, irritability, and excessive hunger","

Answer: C) Shakiness, sweating, and loss of consciousness",,,,,,,,
,Can I eat bread if I have type 2 diabetes?,"Yes, but choose whole grain and high-fiber options, and monitor portion sizes, as bread contains carbohydrates.","If a person with type 2 diabetes eats bread, why is it important to monitor portion sizes, even if it's whole grain and high-fiber?","A) Bread still contains carbohydrates, which can raise blood sugar levels.
B) Whole grain bread has no effect on blood sugar.
C) Portion size does not matter as whole grain bread has no calories.
D) Fiber in the bread will immediately lower blood sugar levels, regardless of portion size.","

Answer: A) Bread still contains carbohydrates, which can raise blood sugar levels.",,,,,,,,
,How does fiber intake affect blood sugar levels?,"High-fiber foods can slow the absorption of sugar, leading to better blood sugar control.",Which of the following mechanisms best explains how fiber intake affects blood sugar levels?,"A) Fiber accelerates the digestion process, causing quicker sugar absorption.
B) Fiber absorbs glucose in the stomach, preventing it from entering the bloodstream.
C) Fiber slows the absorption of sugar, allowing for better regulation of blood sugar levels.
D) Fiber enhances insulin sensitivity, increasing the uptake of glucose into cells.","

Answer: C) Fiber slows the absorption of sugar, allowing for better regulation of blood sugar levels.",,,,,,,,
,What is the role of carbohydrates in a diabetic diet?,"Carbohydrates affect blood glucose levels, so managing carbohydrate intake is crucial for blood sugar control.","In a diabetic diet, why is it essential to manage the intake of carbohydrates specifically, rather than focusing on other nutrients?","A) Carbohydrates have a direct impact on blood glucose levels, making it important to control them for blood sugar regulation.
B) Carbohydrates help to stabilize blood pressure, which is also a concern for diabetics.
C) Carbohydrates provide a high amount of fiber, which is essential for heart health in diabetics.
D) Carbohydrates assist in improving insulin sensitivity, making them critical for blood sugar control.","

Answer: A) Carbohydrates have a direct impact on blood glucose levels, making it important to control them for blood sugar regulation.",,,,,,,,
,How does high blood pressure relate to type 2 diabetes?,High blood pressure is common in individuals with diabetes due to shared risk factors and can lead to cardiovascular complications.,How can high blood pressure in individuals with type 2 diabetes contribute to long-term health complications?,"A) It can lead to decreased blood sugar levels
B) It can increase the risk of cardiovascular complications
C) It can prevent insulin from being produced in the pancreas
D) It can cause a reduction in the effectiveness of diabetes medication
","
Answer: B) It can increase the risk of cardiovascular complications",,,,,,,,
,What are the best types of exercise for managing type 2 diabetes?,"Aerobic exercises (like walking, cycling) and strength training are beneficial for improving insulin sensitivity and controlling blood sugar.",How do aerobic exercises and strength training help in the management of type 2 diabetes?,"A) They reduce the production of insulin, leading to lower blood sugar levels.
B) They improve insulin sensitivity and help in better blood sugar regulation.
C) They primarily affect mental health, which indirectly affects blood sugar.
D) They increase the likelihood of requiring insulin injections.","

Answer: B) They improve insulin sensitivity and help in better blood sugar regulation.",,,,,,,,
,Can type 2 diabetes lead to kidney problems?,"Yes, diabetes is a leading cause of kidney disease due to damage to the blood vessels in the kidneys.",Why is diabetes considered a leading cause of kidney disease?,"A) It decreases the kidney's ability to filter waste due to high sugar levels in the bloodstream.
B) It causes fluid buildup in the kidneys, leading to organ failure.
C) It damages the blood vessels in the kidneys, impairing their function.
D) It increases the number of kidney cells, leading to overactivity and failure.","

Answer: C) It damages the blood vessels in the kidneys, impairing their function.",,,,,,,,
,How can I improve my insulin sensitivity?,"Weight loss, regular physical activity, a balanced diet low in processed foods, and managing stress can all improve insulin sensitivity.",A person with poor insulin sensitivity is trying to improve it. Which of the following changes would most likely help them based on evidence-based recommendations?,"A) Reducing processed food intake, focusing on weight loss, and regularly managing stress
B) Increasing processed food consumption and avoiding exercise to reduce body strain
C) Engaging in high-intensity training only on weekends while maintaining a high-carb diet
D) Avoiding any stress management techniques and prioritizing a high-protein diet","

Answer: A) Reducing processed food intake, focusing on weight loss, and regularly managing stress",,,,,,,,
,Is continuous glucose monitoring helpful for type 2 diabetes?,Continuous glucose monitoring (CGM) can offer real-time insights into blood sugar trends and improve management.,"Why is continuous glucose monitoring (CGM) considered beneficial for individuals managing type 2 diabetes, in terms of overall diabetes control?","A) CGM gives real-time feedback on blood sugar fluctuations, allowing adjustments in lifestyle or medication to improve glucose control
B) CGM completely removes the need for medication or insulin therapy in managing diabetes
C) CGM helps to eliminate the need for physical activity in diabetes management
D) CGM provides a long-term cure for type 2 diabetes, making other monitoring methods obsolete","

Answer: A) CGM gives real-time feedback on blood sugar fluctuations, allowing adjustments in lifestyle or medication to improve glucose control",,,,,,,,
,How do I create a meal plan for type 2 diabetes?,"Consider portion sizes, carbohydrate counting, and including a variety of foods; consulting a registered dietitian can be very helpful.",Why is it beneficial to consult a registered dietitian when creating a meal plan for type 2 diabetes?,"A) They can help ignore carbohydrate counting and focus only on fats.
B) They provide personalized guidance on balancing portions and ensuring a variety of foods are included.
C) They recommend eating unlimited amounts of high-sugar foods.
D) They advise excluding vegetables from the diet completely.","

Answer: B) They provide personalized guidance on balancing portions and ensuring a variety of foods are included.",,,,,,,,
,What is the impact of refined sugars on blood sugar levels?,Refined sugars can cause rapid spikes in blood sugar and should be limited in a diabetic diet.,"In a diabetic diet, why is it important to limit the consumption of refined sugars, considering their effect on blood sugar levels?","A) Refined sugars cause a rapid increase in blood sugar, which can lead to dangerous spikes and disrupt insulin regulation in diabetics.
B) Refined sugars have a neutral effect on blood sugar levels, making them safe for diabetics.
C) Refined sugars slow down the absorption of glucose, helping to control blood sugar levels.
D) Refined sugars promote the release of insulin, which assists in lowering blood sugar levels in diabetics.","

Answer: A) Refined sugars cause a rapid increase in blood sugar, which can lead to dangerous spikes and disrupt insulin regulation in diabetics.",,,,,,,,
,How can I deal with diabetes burnout?,"Seek support from healthcare providers, connect with others who have diabetes, and consider speaking with a mental health professional if needed.","If a person experiences diabetes burnout, which action might they consider in addition to seeking support from healthcare providers and connecting with others who have diabetes?","A) Completely stop monitoring blood sugar levels
B) Consider speaking with a mental health professional
C) Focus only on physical exercise
D) Change their diet drastically without professional advice","

Answer: B) Consider speaking with a mental health professional",,,,,,,,
,Can children get type 2 diabetes?,"Yes, the incidence of type 2 diabetes in children is increasing, especially with rising obesity rates.",How do rising obesity rates contribute to the increase in type 2 diabetes cases in children?,"A) Obesity directly causes type 2 diabetes by affecting insulin resistance and glucose metabolism.
B) Obesity only causes type 1 diabetes, not type 2.
C) Obesity leads to an increase in genetic mutations that trigger type 2 diabetes.
D) Obesity prevents the body from producing insulin, leading to type 2 diabetes.","

Answer: A) Obesity directly causes type 2 diabetes by affecting insulin resistance and glucose metabolism.",,,,,,,,
,What is the role of cholesterol in type 2 diabetes management?,Maintaining healthy cholesterol levels is important to prevent cardiovascular complications.,How might poor cholesterol management affect individuals with type 2 diabetes in the long term?,"A) It can increase the risk of kidney failure and nerve damage.
B) It can contribute to cardiovascular complications, increasing the risk of heart disease.
C) It can improve blood sugar regulation and reduce the need for insulin.
D) It can reduce the likelihood of developing obesity.","

Answer: B) It can contribute to cardiovascular complications, increasing the risk of heart disease.",,,,,,,,
,How does type 2 diabetes affect mental health?,"People with type 2 diabetes may experience anxiety or depression, which can affect diabetes management.","Considering the relationship between mental health and physical health, which of the following best explains the connection between anxiety or depression and type 2 diabetes management?","A) Anxiety or depression can increase stress levels, making it more difficult for individuals to adhere to a healthy lifestyle, thus worsening diabetes management.
B) Anxiety or depression leads to improved motivation for managing diabetes, resulting in better control of blood sugar levels.
C) Anxiety or depression cause a complete avoidance of diabetes care, resulting in an automatic regulation of blood sugar levels.
D) Anxiety or depression do not influence diabetes management in any way.","

Answer: A) Anxiety or depression can increase stress levels, making it more difficult for individuals to adhere to a healthy lifestyle, thus worsening diabetes management.",,,,,,,,
,What are the best foods for breakfast if you have type 2 diabetes?,"Good options include oatmeal, whole-grain toast with protein, Greek yogurt, and fruits with high fiber.",Which of the following combinations would be best for a diabetic breakfast to support blood sugar control and satiety throughout the morning?,"A) Whole-grain toast with protein and Greek yogurt with fruits high in fiber.
B) White bread with butter and scrambled eggs with cheese.
C) Sweetened fruit juice with a sugar-filled muffin.
D) A large bowl of sugary cereal with milk and a chocolate bar.","

Answer: A) Whole-grain toast with protein and Greek yogurt with fruits high in fiber.",,,,,,,,
,Can I still enjoy sweets if I have type 2 diabetes?,"Yes, but moderation is key. Balance sweet treats with carbohydrate intake and monitor blood sugar levels.",Why is it important for someone with type 2 diabetes to balance sweet treats with carbohydrate intake and monitor blood sugar levels?,"A) To increase the body's insulin resistance and reduce the need for medication.
B) To avoid sudden spikes in blood sugar, which can affect overall health.
C) To avoid gaining weight, which has no effect on blood sugar levels.
D) To ensure that sweets are absorbed directly into the bloodstream without affecting the body's metabolism.","

Answer: B) To avoid sudden spikes in blood sugar, which can affect overall health.",,,,,,,,
,What should I do if my blood sugar is too high?,"Take prescribed medications, drink water, increase physical activity, and monitor levels closely. Consult your healthcare provider for guidance.","If your blood sugar is too high, why is it important to monitor your blood sugar levels closely in addition to taking medications and drinking water?","A) Monitoring helps avoid dehydration
B) It allows you to adjust your physical activity accordingly
C) It ensures that the medications are effectively regulating your levels
D) It helps you avoid consulting your healthcare provider","

Answer: C) It ensures that the medications are effectively regulating your levels",,,,,,,,
,Are there specific vitamins or supplements that help with diabetes?,"Some supplements, like vitamin D and omega-3s, may help; however, it’s crucial to discuss any supplement use with your healthcare provider.",Which of the following best explains why omega-3s might be considered beneficial for individuals with diabetes?,"A) Omega-3s help reduce inflammation, which may benefit those with diabetes.
B) Omega-3s provide immediate blood sugar control.
C) Omega-3s replace the need for insulin.
D) Omega-3s increase blood sugar levels in the body.","

Answer: A) Omega-3s help reduce inflammation, which may benefit those with diabetes.",,,,,,,,
,What is diabetic retinopathy and how is it connected to type 2 diabetes?,"Diabetic retinopathy is eye damage due to high blood sugar levels affecting the retina, and early detection through regular eye exams is vital.",How does high blood sugar contribute to diabetic retinopathy in individuals with type 2 diabetes?,"A) It causes the blood vessels in the retina to constrict, reducing blood flow
B) It leads to the formation of abnormal blood vessels in the retina, which can leak fluid
C) It increases the pressure in the eye, causing damage to the optic nerve
D) It weakens the muscles controlling eye movement, leading to blurry vision","

Answer: B) It leads to the formation of abnormal blood vessels in the retina, which can leak fluid",,,,,,,,
,How does gestational diabetes relate to type 2 diabetes later in life?,Women with gestational diabetes have a higher risk of developing type 2 diabetes later in life.,Which of the following factors contribute to the increased risk of type 2 diabetes in women with a history of gestational diabetes?,"A) The hormonal changes during pregnancy can cause lasting insulin resistance, increasing the risk of type 2 diabetes.
B) Gestational diabetes leads to permanent damage to the pancreas, which results in reduced insulin production.
C) Women with gestational diabetes experience a genetic mutation that directly causes type 2 diabetes.
D) Gestational diabetes creates a new set of lifestyle habits that make women more prone to type 2 diabetes.","

Answer: A) The hormonal changes during pregnancy can cause lasting insulin resistance, increasing the risk of type 2 diabetes.",,,,,,,,
,What should I know about diabetes and skin care?,Diabetics need to be cautious with skin care to prevent infections and slow-healing wounds; keeping skin clean and moisturized is essential.,What is the primary reason for the need for special skin care practices in diabetics?,"A) Diabetics are prone to infections and have slower wound healing, requiring extra care
B) Diabetics have excessive skin oil production that leads to acne
C) Diabetics have more sensitive skin that reacts to temperature changes
D) Diabetics tend to have dry skin that needs frequent exfoliation","

Answer: A) Diabetics are prone to infections and have slower wound healing, requiring extra care",,,,,,,,
,How can I manage diabetes while traveling?,"Plan ahead, pack medications and snacks, monitor blood sugar regularly, and stay active.",A person with diabetes is going on an international trip with long flight durations and varied meal timings. Which combination of actions would best help them manage their condition during travel?,"A) Avoid physical activity, rely on airline meals, and monitor blood sugar only after landing
B) Skip snacks to reduce packing weight and test blood sugar once a day
C) Plan ahead, bring medications and snacks, monitor blood sugar frequently, and stay active
D) Eat freely during travel days, delay medication until arrival, and rest fully during transit","

Answer: C) Plan ahead, bring medications and snacks, monitor blood sugar frequently, and stay active",,,,,,,,
,Can my diabetes medication change over time?,"Yes, treatment plans may change based on blood sugar levels, lifestyle changes, and any side effects experienced.","A patient with diabetes has recently adopted a regular exercise routine, improved their diet, and is experiencing mild dizziness from their current medication. Which of the following best explains why their treatment plan might be modified?","A) Exercise alone reduces the need for any medication
B) Medication is always reduced after lifestyle improvements
C) The combination of improved lifestyle and side effects may mean the current medication is no longer optimal
D) Dizziness means the medication is ineffective and should be stopped immediately","

Answer: C) The combination of improved lifestyle and side effects may mean the current medication is no longer optimal",,,,,,,,
,What should I discuss with my healthcare provider regarding type 2 diabetes?,"Discuss blood sugar goals, medication options, lifestyle changes, and any health concerns you may have.","When preparing for a discussion with your healthcare provider about type 2 diabetes, which combination of topics best supports comprehensive management of the condition?","A) Blood sugar goals, medication options, lifestyle changes, and health concerns
B) Exercise routines, movie preferences, daily schedules, and sleep dreams
C) Past injuries, favorite recipes, vacation spots, and general happiness
D) Insurance options, medical billing, pharmacy discounts, and medical history","

Answer: A) Blood sugar goals, medication options, lifestyle changes, and health concerns",,,,,,,,
,How do I handle dining out with diabetes?,"Review menus in advance, look for healthy options, and don’t hesitate to ask about ingredients and preparation methods.",A person with diabetes is planning to dine at a new restaurant. Which of the following actions best demonstrates proactive management of their condition?,"A) Ordering the most popular dish without checking ingredients
B) Skipping meals earlier in the day to indulge more at dinner
C) Asking the staff how dishes are prepared and if substitutions can be made
D) Choosing items based solely on calorie counts listed on the menu","

Answer: C) Asking the staff how dishes are prepared and if substitutions can be made",,,,,,,,
